date,region,city,units,revenue,cost,Marketing_Spend
2025-06-29,Alameda,Oakland,63,1231.48,862.04,184.72
2025-01-27,San Mateo,Redwood City,63,1136.51,795.56,170.48
2025-06-12,Solano,Fairfield,166,3118.75,2183.12,467.81
2025-06-28,Contra Costa,Concord,70,1356.06,949.24,203.41
2025-04-30,Napa,St. Helena,94,1788.41,1251.89,268.26
2025-04-30,Napa,Napa,160,3409.69,2386.78,511.45
2025-05-11,Marin,San Rafael,96,2259.39,1581.57,338.91
2025-02-23,Solano,Fairfield,164,3729.83,2610.88,559.47
2025-03-13,Solano,Fairfield,149,3209.02,2246.31,481.35
2025-05-16,Alameda,Berkeley,183,4045.6,2831.92,606.84
2025-04-18,San Francisco,San Francisco,56,1170.88,819.62,175.63
2025-01-08,San Mateo,Redwood City,93,1741.83,1219.28,261.27
2025-01-28,Santa Clara,San Jose,127,2772.05,1940.43,415.81
2025-05-26,Marin,Mill Valley,84,2008.21,1405.75,301.23
2025-04-25,San Francisco,San Francisco,106,2160.55,15123.8,3240.8
2025-01-21,San Francisco,San Francisco,91,2140.61,1498.43,321.09
2025-05-29,Contra Costa,Walnut Creek,71,1355.15,948.61,203.27
2025-01-02,Santa Clara,San Jose,65,1558.88,1091.22,233.83
2025-05-09,Sonoma,Healdsburg,168,4158.31,2910.82,623.75
2025-03-26,Napa,Yountville,123,2730.23,1911.16,409.53
2025-03-23,Marin,Novato,154,3149.43,2204.6,472.41
2025-02-21,Contra Costa,Walnut Creek,169,3052.15,2136.51,457.82
2025-01-26,San Mateo,Redwood City,122,2531.81,1772.27,379.77
2025-03-15,San Mateo,Daly City,179,3532.11,2472.48,529.82
2025-04-07,San Mateo,San Mateo,116,2443.48,1710.44,366.52
2025-06-29,San Mateo,San Mateo,54,1241.08,868.76,186.16
2025-01-13,Alameda,Oakland,71,1297.56,908.29,194.63
2025-05-02,Solano,Vacaville,174,3334.24,2333.97,500.14
2025-06-26,Sonoma,Santa Rosa,191,3722.59,2605.81,2791.95
2025-04-30,San Francisco,San Francisco,152,3775.28,2642.7,2831.45
2025-04-16,San Francisco,San Francisco,188,4393.08,3075.16,658.96
2025-01-18,San Mateo,Redwood City,91,1840.61,1288.43,276.09
2025-02-06,Solano,Vallejo,168,3771.38,2639.97,565.71
2025-02-06,Sonoma,Santa Rosa,157,3245.83,2272.08,486.87
2025-02-03,Sonoma,Healdsburg,55,1013.37,709.36,152.01
2025-03-20,Solano,Vacaville,196,4549.24,3184.47,682.39
2025-04-18,Napa,Yountville,108,2539.72,1777.8,380.96
2025-06-01,Sonoma,Santa Rosa,127,2758.4,1930.88,413.76
2025-03-18,Solano,Vacaville,132,2665.55,1865.88,399.83
2025-06-21,San Mateo,San Mateo,171,3531.42,2471.99,529.71
2025-06-19,Alameda,Oakland,78,1794.27,1255.99,269.14
2025-01-08,Alameda,Fremont,143,2681.42,1876.99,402.21
2025-02-28,Contra Costa,Concord,74,1727.94,1209.56,259.19
2025-05-27,Sonoma,Petaluma,184,3602.42,2521.69,540.36
2025-01-26,Napa,Napa,83,2032.13,1422.49,304.82
2025-01-03,Solano,Fairfield,138,2497.69,1748.38,374.65
2025-03-17,Solano,Fairfield,61,1267.56,887.29,190.13
2025-03-03,Solano,Vacaville,169,3585.27,2509.69,537.79
2025-01-12,Marin,Mill Valley,65,1174.63,822.24,176.19
2025-06-27,Solano,Vacaville,129,2516.58,1761.61,377.49
2025-04-11,Marin,Mill Valley,192,3459.56,2421.69,518.93
2025-04-01,Santa Clara,San Jose,157,3291.62,2304.13,493.74
2025-06-18,San Francisco,San Francisco,181,3698.06,2588.64,554.71
2025-03-07,Santa Clara,Palo Alto,198,3905.82,2734.07,585.87
2025-04-06,Marin,Novato,84,1801.82,1261.27,270.27
2025-06-08,Alameda,Fremont,121,2619.12,1833.38,392.87
2025-04-07,Marin,Mill Valley,135,2692.61,1884.83,403.89
2025-01-19,Sonoma,Healdsburg,165,4102.62,2871.83,615.39
2025-02-27,San Mateo,San Mateo,84,1879.26,1315.48,281.89
2025-04-13,Alameda,Fremont,79,1745.18,12216.3,2617.8
2025-02-21,Solano,Fairfield,191,4546.42,3182.49,681.96
2025-05-23,Alameda,Fremont,91,1743.93,1220.75,261.59
2025-03-05,San Francisco,San Francisco,105,2520.72,1764.5,378.11
2025-02-23,Contra Costa,Walnut Creek,138,3030.49,2121.34,454.57
2025-04-17,Alameda,Oakland,72,1572.7,1100.89,235.91
2025-06-05,Solano,Vallejo,153,3235.06,2264.54,485.26
2025-04-22,San Mateo,Daly City,182,3777.85,2644.49,566.68
2025-01-04,Marin,Novato,86,1899.59,1329.71,284.94
2025-02-23,San Mateo,Daly City,142,2834.48,1984.14,425.17
2025-01-06,San Francisco,San Francisco,105,2228.78,1560.15,334.32
2025-02-01,San Mateo,Redwood City,200,4613.0,3229.1,691.95
2025-06-11,Contra Costa,Richmond,94,2062.21,1443.55,309.33
2025-04-04,Contra Costa,Walnut Creek,98,2378.36,1664.85,356.75
2025-01-26,Napa,St. Helena,55,1185.62,829.93,177.84
2025-04-10,Napa,St. Helena,59,1236.09,865.26,185.41
2025-01-13,Contra Costa,Walnut Creek,143,3297.5,2308.25,494.62
2025-06-30,Marin,Novato,60,1433.0,1003.1,214.95
2025-02-11,San Francisco,San Francisco,180,3682.33,2577.63,552.35
2025-03-03,San Mateo,Daly City,187,3443.57,2410.5,516.54
2025-02-21,Solano,Fairfield,107,2666.4,1866.48,399.96
2025-01-21,Sonoma,Healdsburg,157,3383.65,2368.55,507.55
2025-06-02,San Mateo,Redwood City,162,3900.05,2730.03,585.01
2025-02-20,San Mateo,Redwood City,124,2718.65,1903.05,407.8
2025-06-05,Marin,Novato,168,3651.45,2556.01,547.72
2025-02-02,Marin,San Rafael,178,3900.19,2730.13,585.03
2025-06-16,Napa,Napa,85,1638.44,1146.91,245.77
2025-03-30,Marin,San Rafael,74,1675.03,1172.52,251.25
2025-04-01,Sonoma,Petaluma,53,1043.5,730.45,156.53
2025-01-06,Solano,Fairfield,110,2647.88,1853.52,397.18
2025-06-23,Alameda,Oakland,97,1831.31,1281.92,274.7
2025-01-11,Alameda,Fremont,160,3257.05,2279.93,488.56
2025-04-27,Santa Clara,Mountain View,98,1941.91,1359.34,291.29
2025-01-31,Marin,Novato,68,1274.98,892.49,191.25
2025-03-14,Alameda,Berkeley,197,4216.34,2951.44,632.45
2025-03-13,Santa Clara,Palo Alto,122,2852.88,1997.02,427.93
2025-03-21,San Mateo,Daly City,197,4575.15,3202.6,686.27
2025-03-19,Santa Clara,San Jose,122,2489.76,1742.83,373.46
2025-04-13,Sonoma,Healdsburg,142,3097.55,2168.28,464.63
2025-06-15,San Mateo,Daly City,104,2000.44,70.02,300.07
2025-03-29,San Francisco,San Francisco,193,4557.36,3190.15,683.6
2025-05-04,Santa Clara,Palo Alto,127,2563.06,1794.14,384.46
2025-04-02,San Mateo,Daly City,106,2416.5,1691.55,362.47
2025-02-22,Contra Costa,Richmond,99,2021.16,1414.81,303.17
2025-06-09,Santa Clara,Palo Alto,61,1368.36,957.85,205.25
2025-06-26,Santa Clara,Palo Alto,64,1175.88,823.12,176.38
2025-02-09,Sonoma,Healdsburg,90,2182.6,1527.82,327.39
2025-06-02,Contra Costa,Concord,63,1302.81,911.97,195.42
2025-04-08,Santa Clara,Mountain View,117,2546.48,1782.54,381.97
2025-06-04,Napa,Napa,133,2908.52,2035.96,436.28
2025-03-05,San Francisco,San Francisco,200,4882.52,3417.76,732.38
2025-01-03,Sonoma,Santa Rosa,123,2303.2,1612.24,345.48
2025-05-04,Sonoma,Santa Rosa,134,3240.95,2268.66,486.14
2025-05-25,San Francisco,San Francisco,192,3710.35,2597.24,556.55
2025-05-10,Solano,Fairfield,111,2216.67,1551.67,332.5
2025-05-28,Contra Costa,Walnut Creek,115,2244.87,1571.41,336.73
2025-02-22,Napa,St. Helena,138,2602.93,1822.05,390.44
2025-03-14,Marin,Novato,174,3924.03,2746.82,588.6
2025-05-05,Santa Clara,Palo Alto,134,2821.28,1974.9,423.19
2025-03-13,Contra Costa,Walnut Creek,55,1086.48,760.54,162.97
2025-01-27,Alameda,Fremont,66,1512.79,1058.95,226.92
2025-01-14,Sonoma,Santa Rosa,96,2349.55,1644.68,352.43
2025-06-01,Solano,Vallejo,164,3559.15,2491.4,533.87
2025-05-15,Napa,Napa,115,2638.23,1846.76,395.73
2025-03-12,Alameda,Berkeley,173,3202.91,2242.04,480.44
2025-03-03,San Francisco,San Francisco,104,2418.3,1692.81,362.75
2025-05-15,Alameda,Berkeley,174,4304.99,3013.49,645.75
2025-04-30,Solano,Vallejo,180,3660.89,2562.62,549.13
2025-01-27,Sonoma,Santa Rosa,92,1693.92,1185.74,254.09
2025-05-26,Sonoma,Healdsburg,143,2662.56,1863.79,399.38
2025-06-12,Sonoma,Santa Rosa,167,3592.05,2514.43,538.81
2025-06-14,Marin,Mill Valley,152,3640.64,2548.45,546.1
2025-06-15,Santa Clara,San Jose,179,4094.59,2866.21,614.19
2025-05-28,San Mateo,Daly City,155,3850.29,2695.2,577.54
2025-06-24,Sonoma,Healdsburg,80,1772.05,1240.43,265.81
2025-02-16,Contra Costa,Richmond,51,965.25,675.67,144.79
2025-05-31,San Mateo,Redwood City,192,4646.93,3252.85,697.04
2025-05-08,Santa Clara,San Jose,96,1954.04,1367.83,293.11
2025-01-07,San Francisco,San Francisco,142,2628.67,1840.07,394.3
2025-03-23,Santa Clara,Mountain View,164,3690.67,2583.47,553.6
2025-05-23,Sonoma,Healdsburg,119,2369.27,1658.49,355.39
2025-06-09,Solano,Fairfield,144,3233.55,2263.49,485.03
2025-04-12,Solano,Vacaville,190,4749.73,3324.81,712.46
2025-05-08,Alameda,Berkeley,130,2891.71,2024.2,433.76
2025-04-13,San Mateo,San Mateo,89,2143.19,1500.23,321.48
2025-04-18,San Mateo,San Mateo,68,1591.71,1114.2,238.76
2025-04-28,San Mateo,Redwood City,90,1959.85,1371.89,293.98
2025-05-11,Marin,San Rafael,67,1289.09,902.36,193.36
2025-06-18,San Francisco,San Francisco,199,4664.1,3264.87,699.62
2025-03-09,Marin,Mill Valley,94,1968.61,1378.03,295.29
2025-02-02,Marin,San Rafael,56,1022.86,716.0,153.43
2025-01-20,Santa Clara,Mountain View,132,2956.24,2069.37,443.44
2025-02-10,Santa Clara,Palo Alto,166,2999.57,2099.7,449.94
2025-01-27,Santa Clara,San Jose,81,1754.49,1228.14,263.17
2025-06-19,San Francisco,San Francisco,186,4301.37,3010.96,645.21
2025-06-05,Contra Costa,Walnut Creek,98,2226.42,1558.49,333.96
2025-05-24,Contra Costa,Richmond,122,2464.92,1725.44,369.74
2025-06-01,San Mateo,Daly City,135,2723.06,1906.14,408.46
2025-01-27,Santa Clara,Palo Alto,103,1915.64,1340.95,287.35
2025-04-24,San Francisco,San Francisco,165,3559.89,2491.92,533.98
2025-02-25,Solano,Vallejo,104,2315.39,1620.77,347.31
2025-05-31,Alameda,Fremont,76,1532.86,1073.0,229.93
2025-05-08,Solano,Vallejo,123,2354.98,1648.49,353.25
2025-05-23,Napa,St. Helena,198,4883.14,3418.2,732.47
2025-03-24,Santa Clara,Mountain View,154,3811.37,2667.96,571.71
2025-02-15,Alameda,Berkeley,102,2062.62,1443.83,309.39
2025-04-17,Marin,San Rafael,119,2495.39,8733.85,1871.55
2025-06-19,Alameda,Oakland,150,3595.34,2516.74,539.3
2025-02-20,Napa,Yountville,82,1852.95,1297.07,277.94
2025-04-12,Santa Clara,Palo Alto,132,3048.9,2134.23,457.33
2025-06-27,Sonoma,Healdsburg,66,1523.2,1066.24,228.48
2025-03-14,San Mateo,Redwood City,102,2472.74,1730.92,370.91
2025-01-11,Napa,St. Helena,128,2744.86,1921.4,411.73
2025-04-19,Santa Clara,Mountain View,79,1700.25,1190.17,255.04
2025-03-06,Santa Clara,San Jose,95,2244.37,1571.06,336.66
2025-01-14,Sonoma,Santa Rosa,136,3104.22,2172.95,465.63
2025-03-07,Contra Costa,Walnut Creek,153,3443.76,2410.63,516.56
2025-03-21,San Mateo,Daly City,177,3360.55,2352.38,504.08
2025-01-17,Alameda,Oakland,85,2122.42,1485.69,318.36
2025-06-02,Contra Costa,Concord,151,3514.44,2460.11,527.17
2025-06-14,Contra Costa,Walnut Creek,54,1233.68,863.58,185.05
2025-01-15,Santa Clara,San Jose,94,2189.36,1532.55,328.4
2025-01-29,Alameda,Oakland,199,3902.03,2731.42,585.3
2025-01-06,Santa Clara,Palo Alto,166,3130.27,2191.19,469.54
2025-06-17,Sonoma,Santa Rosa,161,3749.48,2624.64,562.42
2025-03-06,San Mateo,San Mateo,85,2017.2,1412.04,302.58
2025-01-07,Alameda,Berkeley,142,3443.31,2410.32,516.5
2025-05-30,San Mateo,San Mateo,196,3596.92,2517.84,539.54
2025-04-24,Solano,Fairfield,65,1497.82,1048.47,224.67
2025-03-28,Alameda,Oakland,65,1615.02,1130.51,242.25
2025-03-06,Contra Costa,Richmond,69,1551.14,1085.8,232.67
2025-06-20,Santa Clara,San Jose,58,1420.23,994.16,213.03
2025-01-13,Solano,Fairfield,169,4165.02,2915.51,624.75
2025-05-03,Marin,Novato,157,3371.45,2360.01,505.72
2025-04-28,Solano,Vacaville,192,3857.12,2699.98,578.57
2025-04-19,Contra Costa,Richmond,64,1239.04,867.33,185.86
2025-05-07,Sonoma,Petaluma,161,3258.26,2280.78,488.74
2025-02-26,Contra Costa,Richmond,147,3178.28,2224.8,476.74
2025-05-05,San Francisco,San Francisco,161,3315.17,2320.62,497.28
2025-04-02,Contra Costa,Richmond,194,4465.19,3125.63,669.78
2025-06-09,Santa Clara,Mountain View,59,1181.08,826.76,177.16
2025-02-09,Contra Costa,Concord,119,2161.98,1513.39,324.3
2025-04-11,Contra Costa,Richmond,196,4318.57,3023.0,647.79
2025-05-19,San Mateo,Redwood City,88,1893.1,1325.17,283.96
2025-05-24,Alameda,Oakland,70,1574.94,1102.46,236.24
2025-04-01,Sonoma,Santa Rosa,130,3059.29,2141.5,458.89
2025-01-16,Alameda,Berkeley,189,3936.16,2755.31,590.42
2025-04-03,San Francisco,San Francisco,138,3138.51,2196.96,470.78
2025-03-05,Santa Clara,Mountain View,105,2373.27,1661.29,355.99
2025-01-24,Sonoma,Santa Rosa,146,3036.57,2125.6,455.49
2025-04-18,San Francisco,San Francisco,113,2290.74,1603.52,343.61
2025-05-15,Contra Costa,Richmond,56,1219.37,853.56,182.91
2025-01-19,Napa,Napa,77,1782.8,1247.96,267.42
2025-03-17,Alameda,Oakland,176,4071.81,2850.27,610.77
2025-01-17,Napa,Napa,197,3901.68,2731.18,585.25
2025-05-08,San Francisco,San Francisco,60,1162.46,813.72,174.37
2025-02-22,Marin,Mill Valley,153,3368.38,2357.87,505.26
2025-03-16,San Mateo,Redwood City,91,2115.18,1480.63,317.28
2025-02-22,Contra Costa,Richmond,101,2335.41,1634.79,350.31
2025-01-16,San Mateo,Daly City,170,3830.08,2681.06,574.51
2025-03-30,San Mateo,San Mateo,195,4436.99,3105.89,665.55
2025-01-01,Marin,Novato,122,2551.36,1785.95,382.7
2025-01-17,Contra Costa,Walnut Creek,128,2702.51,1891.76,405.38
2025-05-15,Marin,San Rafael,165,3400.25,2380.17,510.04
2025-04-08,Santa Clara,San Jose,174,3784.4,2649.08,567.66
2025-05-08,Marin,Mill Valley,87,1986.01,1390.21,297.9
2025-04-08,Marin,Novato,105,2316.09,1621.26,347.41
2025-03-30,Napa,Napa,152,3705.84,2594.09,555.88
2025-01-24,Marin,San Rafael,127,2395.21,1676.65,359.28
2025-04-04,Sonoma,Santa Rosa,153,3620.67,2534.47,543.1
2025-04-28,Contra Costa,Concord,50,1157.56,810.29,173.63
2025-04-19,Napa,Napa,162,3322.76,2325.93,498.41
2025-01-01,San Mateo,Redwood City,189,4297.33,3008.13,644.6
2025-02-03,Sonoma,Petaluma,94,1827.97,1279.58,274.2
2025-01-28,Santa Clara,San Jose,83,1804.53,1263.17,270.68
2025-06-20,San Francisco,San Francisco,103,1942.52,1359.76,291.38
2025-01-12,San Mateo,San Mateo,170,3654.75,2558.32,548.21
2025-04-30,Santa Clara,Palo Alto,121,2795.46,1956.82,419.32
2025-06-27,Alameda,Berkeley,85,2008.44,1405.91,301.27
2025-02-02,Contra Costa,Richmond,65,1376.72,963.7,206.51
2025-05-08,Solano,Fairfield,158,3345.94,2342.16,501.89
2025-01-12,Napa,Yountville,170,3952.12,2766.48,592.82
2025-06-27,Napa,Yountville,104,2117.7,1482.39,317.65
2025-01-19,Marin,Novato,194,3750.73,2625.51,562.61
2025-01-03,San Mateo,San Mateo,126,2613.36,1829.35,392.0
2025-02-18,San Mateo,Redwood City,52,1170.37,819.26,175.56
2025-02-06,Santa Clara,San Jose,98,2274.91,1592.44,341.24
2025-03-08,San Mateo,Daly City,171,3651.41,2555.99,547.71
2025-04-14,Solano,Vacaville,194,4488.69,3142.08,673.3
2025-06-03,Marin,San Rafael,113,2351.51,1646.06,352.73
2025-03-18,Alameda,Oakland,191,4620.6,3234.42,693.09
2025-05-04,Solano,Vacaville,109,2005.79,1404.05,300.87
2025-01-07,Santa Clara,Mountain View,191,4232.86,2963.0,634.93
2025-02-03,Santa Clara,Palo Alto,177,4151.27,2905.89,622.69
2025-03-09,Contra Costa,Walnut Creek,62,1416.63,991.64,212.49
2025-01-10,Solano,Vallejo,169,3223.53,2256.47,483.53
2025-03-02,San Mateo,San Mateo,107,2273.85,1591.69,341.08
2025-03-21,Marin,Mill Valley,132,2966.9,2076.83,445.04
2025-03-21,Alameda,Berkeley,65,1320.61,924.43,198.09
2025-06-04,Napa,Yountville,143,3181.85,2227.29,477.28
2025-03-26,Contra Costa,Richmond,73,1554.26,1087.98,233.14
2025-05-03,Napa,St. Helena,153,3048.99,2134.29,457.35
2025-04-11,Sonoma,Santa Rosa,161,3688.45,2581.91,553.27
2025-04-05,San Mateo,San Mateo,61,1483.38,1038.37,222.51
2025-06-11,Sonoma,Santa Rosa,67,1249.47,874.63,187.42
2025-05-16,Marin,San Rafael,192,3987.21,2791.05,598.08
2025-05-21,San Francisco,San Francisco,183,3520.06,2464.04,528.01
2025-03-23,San Francisco,San Francisco,120,2723.5,1906.45,408.52
2025-02-02,Solano,Vacaville,65,1247.37,873.16,187.11
2025-05-31,Alameda,Berkeley,99,1826.24,1278.37,273.94
2025-02-20,San Francisco,San Francisco,189,3717.57,2602.3,557.64
2025-06-18,Napa,Yountville,133,3134.55,2194.18,470.18
2025-01-01,Contra Costa,Concord,100,2004.11,1402.88,300.62
2025-04-11,San Francisco,San Francisco,89,1907.37,1335.16,286.11
2025-03-15,Alameda,Berkeley,116,2748.69,1924.08,412.3
2025-06-26,Alameda,Fremont,60,1149.45,804.62,172.42
2025-03-06,Napa,St. Helena,171,3847.2,2693.04,577.08
2025-02-07,Contra Costa,Concord,79,1892.6,1324.82,283.89
2025-06-14,San Mateo,Daly City,58,1381.07,966.75,207.16
2025-05-16,Contra Costa,Richmond,133,3105.18,2173.63,465.78
2025-04-30,Alameda,Oakland,160,3970.03,2779.02,595.5
2025-05-20,Marin,San Rafael,143,3408.71,2386.1,511.31
2025-03-27,Santa Clara,Mountain View,127,2312.71,1618.9,346.91
2025-05-18,Solano,Fairfield,146,3393.68,2375.58,509.05
2025-02-03,Solano,Vallejo,156,2965.39,2075.77,444.81
2025-02-22,San Mateo,San Mateo,198,3662.72,2563.9,549.41
2025-06-30,San Francisco,San Francisco,83,1520.71,1064.5,228.11
2025-04-22,San Francisco,San Francisco,151,2859.15,2001.4,428.87
2025-06-14,Alameda,Oakland,186,4314.89,3020.42,647.23
2025-01-16,Contra Costa,Walnut Creek,54,1147.46,803.22,172.12
2025-03-18,Sonoma,Petaluma,69,1453.3,1017.31,217.99
2025-01-05,Solano,Fairfield,161,3518.67,2463.07,527.8
2025-04-19,Marin,San Rafael,161,3462.96,2424.07,519.44
2025-03-13,Marin,Mill Valley,133,2851.67,1996.17,427.75
2025-02-18,San Mateo,San Mateo,138,3248.04,2273.63,487.21
2025-03-15,Solano,Vacaville,170,4185.85,2930.1,627.88
2025-02-19,Contra Costa,Walnut Creek,169,3155.84,2209.09,473.38
2025-03-02,San Mateo,Redwood City,154,3296.05,2307.24,494.41
2025-02-20,Napa,St. Helena,97,2076.33,1453.43,311.45
2025-01-22,San Mateo,Redwood City,184,3383.77,2368.64,507.57
2025-04-01,Contra Costa,Richmond,163,3848.94,2694.26,577.34
2025-05-12,Napa,Yountville,64,1460.78,1022.55,219.12
2025-05-29,San Mateo,San Mateo,86,2122.22,1485.55,318.33
2025-01-11,Alameda,Fremont,167,4096.66,2867.66,614.5
2025-03-09,San Francisco,San Francisco,132,3110.51,2177.36,466.58
2025-02-22,Alameda,Oakland,183,4528.7,3170.09,679.3
2025-06-28,Sonoma,Healdsburg,193,3974.5,2782.15,596.17
2025-06-02,Contra Costa,Richmond,59,1085.12,759.58,162.77
2025-05-23,Contra Costa,Richmond,56,1164.95,815.47,174.74
2025-04-03,Napa,Napa,173,4308.01,3015.61,646.2
2025-02-04,Marin,Mill Valley,199,4812.89,3369.02,721.93
2025-02-07,Santa Clara,San Jose,85,1552.08,1086.46,232.81
2025-05-18,San Mateo,Redwood City,122,2727.46,1909.22,409.12
2025-02-01,San Mateo,Daly City,154,3658.67,2561.07,548.8
2025-06-21,Sonoma,Petaluma,159,3020.74,2114.52,453.11
